RTO,Month,Domestic Guest Nights ,International Guest Nights ,Total Guest Nights 
Northland,Jan-00," 222,771 "," 60,329 "," 283,331 "
Northland,Feb-00, ... , ... ," 149,482 "
Northland,Mar-00, ... , ... ," 137,901 "
Northland,Apr-00," 90,229 "," 45,444 "," 135,675 "
Northland,May-00, ... , ... ," 66,804 "
Northland,Jun-00, ... , ... ," 56,187 "
Northland,Jul-00," 40,927 "," 19,445 "," 60,392 "
Northland,Aug-00, ... , ... ," 57,549 "
Northland,Sept-00, ... , ... ," 73,632 "
Northland,Oct-00," 58,609 "," 43,698 "," 102,308 "
Northland,Nov-00, ... , ... ," 118,598 "
Northland,Dec-00, ... , ... ," 189,949 "
Northland,Jan-01," 215,166 "," 73,442 "," 288,609 "
Northland,Feb-01, ... , ... ," 152,274 "
Northland,Mar-01, ... , ... ," 143,780 "
Northland,Apr-01," 76,052 "," 47,588 "," 123,640 "
Northland,May-01, ... , ... ," 68,401 "
Northland,Jun-01, ... , ... ," 58,750 "
Northland,Jul-01," 44,128 "," 20,505 "," 64,628 "
Northland,Aug-01, ... , ... ," 63,044 "
Northland,Sept-01, ... , ... ," 76,017 "
Northland,Oct-01," 55,835 "," 45,169 "," 101,004 "
Northland,Nov-01, ... , ... ," 120,972 "
Northland,Dec-01, ... , ... ," 210,265 "
Northland,Jan-02," 230,077 "," 83,759 "," 313,837 "
Northland,Feb-02, ... , ... ," 166,606 "
Northland,Mar-02, ... , ... ," 179,289 "
Northland,Apr-02," 69,355 "," 54,664 "," 124,022 "
Northland,May-02, ... , ... ," 80,690 "
Northland,Jun-02, ... , ... ," 64,411 "
Northland,Jul-02," 46,371 "," 22,991 "," 69,362 "
Northland,Aug-02, ... , ... ," 67,537 "
Northland,Sept-02, ... , ... ," 79,825 "
Northland,Oct-02," 57,220 "," 46,403 "," 103,624 "
Northland,Nov-02, ... , ... ," 119,705 "
Northland,Dec-02, ... , ... ," 203,819 "
Northland,Jan-03," 223,334 "," 94,849 "," 318,185 "
Northland,Feb-03, ... , ... ," 171,301 "
Northland,Mar-03, ... , ... ," 154,781 "
Northland,Apr-03," 89,693 "," 57,871 "," 147,563 "
Northland,May-03, ... , ... ," 84,781 "
Northland,Jun-03, ... , ... ," 63,760 "
Northland,Jul-03," 51,191 "," 23,581 "," 74,775 "
Northland,Aug-03, ... , ... ," 70,392 "
Northland,Sept-03, ... , ... ," 90,204 "
Northland,Oct-03," 58,802 "," 50,710 "," 109,512 "
Northland,Nov-03, ... , ... ," 123,201 "
Northland,Dec-03, ... , ... ," 213,567 "
Northland,Jan-04," 222,650 "," 99,622 "," 322,272 "
Northland,Feb-04, ... , ... ," 176,908 "
Northland,Mar-04, ... , ... ," 159,361 "
Northland,Apr-04," 78,880 "," 63,524 "," 142,403 "
Northland,May-04, ... , ... ," 83,525 "
Northland,Jun-04, ... , ... ," 77,014 "
Northland,Jul-04," 53,625 "," 31,796 "," 85,424 "
Northland,Aug-04, ... , ... ," 71,074 "
Northland,Sept-04, ... , ... ," 90,050 "
Northland,Oct-04," 57,993 "," 51,214 "," 109,209 "
Northland,Nov-04, ... , ... ," 130,238 "
Northland,Dec-04, ... , ... ," 217,535 "
Northland,Jan-05," 203,089 "," 125,594 "," 328,684 "
Northland,Feb-05, ... , ... ," 172,225 "
Northland,Mar-05, ... , ... ," 186,595 "
Northland,Apr-05," 75,259 "," 62,005 "," 137,264 "
Northland,May-05, ... , ... ," 82,747 "
Northland,Jun-05, ... , ... ," 72,904 "
Northland,Jul-05," 52,049 "," 31,734 "," 83,784 "
Northland,Aug-05, ... , ... ," 72,655 "
Northland,Sept-05, ... , ... ," 87,348 "
Northland,Oct-05," 62,430 "," 48,079 "," 110,509 "
Northland,Nov-05, ... , ... ," 126,733 "
Northland,Dec-05, ... , ... ," 194,991 "
Northland,Jan-06," 191,766 "," 120,398 "," 312,167 "
Northland,Feb-06, ... , ... ," 183,540 "
Northland,Mar-06, ... , ... ," 169,815 "
Northland,Apr-06," 85,059 "," 63,778 "," 148,838 "
Northland,May-06, ... , ... ," 82,061 "
Northland,Jun-06, ... , ... ," 71,825 "
Northland,Jul-06," 56,127 "," 28,284 "," 84,409 "
Northland,Aug-06, ... , ... ," 73,438 "
Northland,Sept-06, ... , ... ," 91,207 "
Northland,Oct-06," 68,298 "," 58,004 "," 126,301 "
Northland,Nov-06, ... , ... ," 135,400 "
Northland,Dec-06, ... , ... ," 205,198 "
Northland,Jan-07," 227,391 "," 129,721 "," 357,112 "
Northland,Feb-07, ... , ... ," 199,144 "
Northland,Mar-07, ... , ... ," 178,854 "
Northland,Apr-07," 79,504 "," 61,275 "," 140,781 "
Northland,May-07, ... , ... ," 89,406 "
Northland,Jun-07, ... , ... ," 74,607 "
Northland,Jul-07," 53,564 "," 24,846 "," 78,409 "
Northland,Aug-07, ... , ... ," 75,105 "
Northland,Sept-07, ... , ... ," 91,722 "
Northland,Oct-07," 61,275 "," 52,643 "," 113,918 "
Northland,Nov-07," 63,744 "," 62,165 "," 125,910 "
Northland,Dec-07," 122,428 "," 87,276 "," 209,704 "
Northland,Jan-08," 240,337 "," 109,055 "," 349,391 "
Northland,Feb-08," 94,509 "," 102,207 "," 196,715 "
Northland,Mar-08," 97,809 "," 92,500 "," 190,309 "
Northland,Apr-08," 76,755 "," 55,005 "," 131,760 "
Northland,May-08," 55,248 "," 33,298 "," 88,546 "
Northland,Jun-08," 42,191 "," 25,126 "," 67,316 "
Northland,Jul-08," 47,181 "," 22,293 "," 69,475 "
Northland,Aug-08," 40,851 "," 17,313 "," 58,164 "
Northland,Sept-08," 50,326 "," 32,469 "," 82,795 "
Northland,Oct-08," 68,365 "," 44,098 "," 112,464 "
Northland,Nov-08," 54,340 "," 67,546 "," 121,886 "
Northland,Dec-08," 117,002 "," 75,121 "," 192,122 "
Northland,Jan-09," 221,592 "," 91,185 "," 312,777 "
Northland,Feb-09," 91,950 "," 89,730 "," 181,679 "
Northland,Mar-09," 77,825 "," 87,177 "," 165,002 "
Northland,Apr-09," 90,171 "," 61,307 "," 151,478 "
Northland,May-09," 59,022 "," 31,750 "," 90,771 "
Northland,Jun-09," 41,273 "," 20,030 "," 61,302 "
Northland,Jul-09," 49,484 "," 21,210 "," 70,694 "
Northland,Aug-09," 42,328 "," 22,936 "," 65,264 "
Northland,Sept-09," 48,647 "," 36,404 "," 85,051 "
Northland,Oct-09," 66,162 "," 49,595 "," 115,757 "
Northland,Nov-09," 60,059 "," 65,678 "," 125,736 "
Northland,Dec-09," 129,798 "," 78,675 "," 208,473 "
Northland,Jan-10," 232,474 "," 99,458 "," 331,933 "
Northland,Feb-10," 84,482 "," 98,972 "," 183,454 "
Northland,Mar-10," 77,079 "," 87,503 "," 164,582 "
Northland,Apr-10," 89,932 "," 55,722 "," 145,653 "
Northland,May-10," 48,720 "," 38,180 "," 86,900 "
Northland,Jun-10," 45,324 "," 20,632 "," 65,956 "
Northland,Jul-10," 48,466 "," 23,161 "," 71,628 "
Northland,Aug-10," 41,784 "," 22,273 "," 64,057 "
Northland,Sept-10," 47,149 "," 30,776 "," 77,926 "
Northland,Oct-10," 70,411 "," 49,553 "," 119,965 "
Northland,Nov-10," 56,477 "," 61,830 "," 118,307 "
Northland,Dec-10," 125,421 "," 76,445 "," 201,866 "
Northland,Jan-11," 230,587 "," 96,745 "," 327,332 "
Northland,Feb-11," 85,906 "," 85,852 "," 171,758 "
Northland,Mar-11," 75,711 "," 83,854 "," 159,565 "
Northland,Apr-11," 90,869 "," 58,920 "," 149,789 "
Northland,May-11," 44,645 "," 40,275 "," 84,919 "
Northland,Jun-11," 40,931 "," 25,954 "," 66,884 "
Northland,Jul-11," 57,279 "," 25,036 "," 82,315 "
Northland,Aug-11," 47,741 "," 22,098 "," 69,838 "
Northland,Sept-11," 43,035 "," 41,784 "," 84,819 "
Northland,Oct-11," 58,571 "," 49,616 "," 108,187 "
Northland,Nov-11," 66,914 "," 56,333 "," 123,248 "
Northland,Dec-11," 130,565 "," 65,186 "," 195,751 "
Northland,Jan-12," 237,941 "," 82,903 "," 320,844 "
Northland,Feb-12," 101,841 "," 78,617 "," 180,458 "
Northland,Mar-12," 79,744 "," 62,638 "," 142,382 "
Northland,Apr-12," 77,901 "," 47,850 "," 125,750 "
Northland,May-12," 48,844 "," 30,772 "," 79,616 "
